    FWI,VPD,HT,T,RH,U,V,P,RAIN,CAPE,ST,SM,Nearest_1,Nearest_2,Nearest_3,Nearest_4,Nearest_5,Nearest_6,Nearest_7,Nearest_8,Nearest_9,Nearest_10,Nearest_11,Nearest_12,Nearest_13,Nearest_14,Nearest_15,Nearest_16,Nearest_17,Nearest_18,Nearest_19,Nearest_20,Nearest_21,Nearest_22,Nearest_23,Nearest_24,Land_Use,VCI_AVE,TCI_AVE,VHI_AVE,VCI_TOT,TCI_TOT,VHI_TOT,FWI_1_days_ago,VPD_1_days_ago,P_1_days_ago,FRP_1_days_ago,FWI_2_days_ago,VPD_2_days_ago,P_2_days_ago,FRP_2_days_ago,FWI_3_days_ago,VPD_3_days_ago,P_3_days_ago,FRP_3_days_ago,FWI_4_days_ago,VPD_4_days_ago,P_4_days_ago,FRP_4_days_ago,FWI_5_days_ago,VPD_5_days_ago,P_5_days_ago,FRP_5_days_ago,FWI_6_days_ago,VPD_6_days_ago,P_6_days_ago,FRP_6_days_ago,FWI_7_days_ago,VPD_7_days_ago,P_7_days_ago,FRP_7_days_ago
-999.0,-999.0,0.0,291.899414,53.375,2.511885,-2.306465,101414.070312,3e-06,3.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,101281.734375,0.0,-999.0,-999.0,101027.0625,0.0,-999.0,-999.0,100895.0,0.0,-999.0,-999.0,101110.640625,0.0,-999.0,-999.0,101420.625,0.0,-999.0,-999.0,101666.171875,0.0,-999.0,-999.0,101719.085938,0.0
8.599609,-999.0,156.0,303.824402,65.075005,-3.250615,3.091035,97798.867188,0.0,74.75,302.859314,0.09425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,3.864258,-999.0,97828.140625,0.0,8.083008,-999.0,97560.265625,0.0,23.078125,-999.0,97349.796875,0.0,49.099609,-999.0,97212.234375,0.0,54.042969,-999.0,97199.828125,0.0,49.301758,-999.0,97402.976562,0.0,35.862305,-999.0,97557.085938,0.0
-999.0,-999.0,0.0,302.274414,64.200005,-3.573114,0.368535,101490.070312,1.1e-05,1007.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,101629.34375,0.0,-999.0,-999.0,101503.867188,0.0,-999.0,-999.0,101242.203125,0.0,-999.0,-999.0,101209.4375,0.0,-999.0,-999.0,101372.625,0.0,-999.0,-999.0,101536.976562,0.0,-999.0,-999.0,101591.085938,0.0
-999.0,-999.0,0.0,300.199402,31.25,-4.033114,3.906035,102119.671875,1e-06,904.75,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,102242.539062,0.0,-999.0,-999.0,102356.664062,0.0,-999.0,-999.0,102121.796875,0.0,-999.0,-999.0,101716.234375,0.0,-999.0,-999.0,101975.023438,0.0,-999.0,-999.0,102102.976562,0.0,-999.0,-999.0,102205.09375,0.0
15.574219,-999.0,0.0,291.549408,69.925003,2.714385,-2.868965,101325.265625,0.0,1.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,13.183594,-999.0,101210.539062,0.0,15.015625,-999.0,100917.859375,0.0,16.765625,-999.0,100751.398438,0.0,20.277344,-999.0,100924.640625,0.0,30.441406,-999.0,101265.421875,0.0,24.96875,-999.0,101547.375,0.0,20.582031,-999.0,101639.484375,0.0
-999.0,-999.0,0.0,291.324402,65.050003,3.496885,-2.163965,101304.46875,0.0,2.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,101204.539062,0.0,-999.0,-999.0,100904.265625,0.0,-999.0,-999.0,100728.203125,0.0,-999.0,-999.0,100901.039062,0.0,-999.0,-999.0,101229.828125,0.0,-999.0,-999.0,101509.375,0.0,-999.0,-999.0,101616.6875,0.0
-999.0,-999.0,0.0,300.12442,56.600002,-2.923115,4.198535,102203.671875,8e-06,762.75,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,102301.34375,0.0,-999.0,-999.0,102427.859375,0.0,-999.0,-999.0,102241.796875,0.0,-999.0,-999.0,101850.640625,0.0,-999.0,-999.0,101991.421875,0.0,-999.0,-999.0,102178.171875,0.0,-999.0,-999.0,102259.890625,0.0
-999.0,-999.0,0.0,290.924408,60.625,2.096885,-3.196465,101377.265625,8e-06,2.25,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,101232.539062,0.0,-999.0,-999.0,100967.0625,0.0,-999.0,-999.0,100817.398438,0.0,-999.0,-999.0,101018.640625,0.0,-999.0,-999.0,101375.023438,0.0,-999.0,-999.0,101625.78125,0.0,-999.0,-999.0,101696.6875,0.0
10.828125,-999.0,0.0,290.974426,63.925003,4.999385,-2.156465,101027.664062,0.0,0.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,7.391797,-999.0,100995.742188,0.0,7.535156,-999.0,100675.46875,0.0,8.223828,-999.0,100423.398438,0.0,10.064844,-999.0,100524.242188,0.0,17.421875,-999.0,100767.421875,0.0,20.150391,-999.0,101062.976562,0.0,19.546484,-999.0,101232.6875,0.0
-999.0,-999.0,0.0,290.924438,63.900002,2.096885,-3.006465,101364.867188,8e-06,1.75,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,101222.9375,0.0,-999.0,-999.0,100944.265625,0.0,-999.0,-999.0,100795.398438,0.0,-999.0,-999.0,100987.4375,0.0,-999.0,-999.0,101350.625,0.0,-999.0,-999.0,101608.578125,0.0,-999.0,-999.0,101687.492188,0.0
